Input,Approved name
KITLG,KIT ligand
NEURL4,neuralized E3 ubiquitin protein ligase 4
ERLIN1,ER lipid raft associated 1
MYO1C,myosin IC
CLCN5,chloride voltage-gated channel 5
AGTPBP1,ATP/GTP binding protein 1
SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1"
SNX6,sorting nexin 6
CASK,calcium/calmodulin dependent serine protein kinase
USP7,ubiquitin specific peptidase 7
RPA3,replication protein A3
KRTAP10-4,keratin associated protein 10-4
CLK1,CDC like kinase 1
MAFF,MAF bZIP transcription factor F
TUBB1,tubulin beta 1 class VI
RUNX1,RUNX family transcription factor 1
WT1,WT1 transcription factor
CD79A,CD79a molecule
FAM111A,family with sequence similarity 111 member A
RTKN,rhotekin
MPC2,mitochondrial pyruvate carrier 2
TBC1D24,TBC1 domain family member 24
KRT19,keratin 19
GPR149,G protein-coupled receptor 149
FUS,FUS RNA binding protein
IFIT5,interferon induced protein with tetratricopeptide repeats 5
LSR,lipolysis stimulated lipoprotein receptor
ADGRB1,adhesion G protein-coupled receptor B1
AGR2,"anterior gradient 2, protein disulphide isomerase family member"
MOAP1,modulator of apoptosis 1
KAT2A,lysine acetyltransferase 2A
BAIAP2L1,BAR/IMD domain containing adaptor protein 2 like 1
KIAA0754,KIAA0754
NXF2,nuclear RNA export factor 2
INPP5K,inositol polyphosphate-5-phosphatase K
MTNR1A,melatonin receptor 1A
CDC7,cell division cycle 7
HMG20B,high mobility group 20B
MIR29B1,microRNA 29b-1
OPRL1,opioid related nociceptin receptor 1
KAT6A,lysine acetyltransferase 6A
DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
IFI16,interferon gamma inducible protein 16
MEF2B,myocyte enhancer factor 2B
ATP6V1B2,ATPase H+ transporting V1 subunit B2
SLC2A5,solute carrier family 2 member 5
ZFP36L2,ZFP36 ring finger protein like 2
GPX2,glutathione peroxidase 2
CAPZB,capping actin protein of muscle Z-line subunit beta
TNFRSF11A,TNF receptor superfamily member 11a
CEP120,centrosomal protein 120
CCDC82,coiled-coil domain containing 82
SLC25A11,solute carrier family 25 member 11
SNRNP27,small nuclear ribonucleoprotein U4/U6.U5 subunit 27
RPS6KA2,ribosomal protein S6 kinase A2
NCKAP1L,NCK associated protein 1 like
UBC,ubiquitin C
ILK,integrin linked kinase
CCNA1,cyclin A1
COL4A5,collagen type IV alpha 5 chain
RB1CC1,RB1 inducible coiled-coil 1
SSBP1,single stranded DNA binding protein 1
LASP1,LIM and SH3 protein 1
CALHM5,calcium homeostasis modulator family member 5
ACTR10,actin related protein 10
ME1,malic enzyme 1
TRIM68,tripartite motif containing 68
GDF9,growth differentiation factor 9
ZNF444,zinc finger protein 444
GABBR1,gamma-aminobutyric acid type B receptor subunit 1
LDHB,lactate dehydrogenase B
HMBOX1,homeobox containing 1
ZFR,zinc finger RNA binding protein
PPP1R13L,protein phosphatase 1 regulatory subunit 13 like
TP53TG1,TP53 target 1
BSCL2,"BSCL2 lipid droplet biogenesis associated, seipin"
DAB2IP,DAB2 interacting protein
OAT,ornithine aminotransferase
MED9,mediator complex subunit 9
SMC4,structural maintenance of chromosomes 4
NUDCD3,NudC domain containing 3
NBEAL2,neurobeachin like 2
STPG4,sperm-tail PG-rich repeat containing 4
GUCY1A1,guanylate cyclase 1 soluble subunit alpha 1
SLC27A6,solute carrier family 27 member 6
TNFAIP3,TNF alpha induced protein 3
WWTR1,WW domain containing transcription regulator 1
CKS1B,CDC28 protein kinase regulatory subunit 1B
FDPS,farnesyl diphosphate synthase
CTH,cystathionine gamma-lyase
SETD1A,"SET domain containing 1A, histone lysine methyltransferase"
SYN1,synapsin I
FRA10AC1,FRA10A associated CGG repeat 1
ANG,angiogenin
RASAL2,RAS protein activator like 2
HNRNPH3,heterogeneous nuclear ribonucleoprotein H3
TCF7L1,transcription factor 7 like 1
TCF3,transcription factor 3
KLF8,Kruppel like factor 8
TMEM41B,transmembrane protein 41B
SMARCD3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3"
SOX1,SRY-box transcription factor 1
FBXW7,F-box and WD repeat domain containing 7
NDUFAF4,NADH:ubiquinone oxidoreductase complex assembly factor 4
CCDC85B,coiled-coil domain containing 85B
ABI2,abl interactor 2
EIF3M,eukaryotic translation initiation factor 3 subunit M
AHCYL2,adenosylhomocysteinase like 2
STAT1,signal transducer and activator of transcription 1
PLA2G4A,phospholipase A2 group IVA
THAP12,THAP domain containing 12
EIF2B4,eukaryotic translation initiation factor 2B subunit delta
SMG1,SMG1 nonsense mediated mRNA decay associated PI3K related kinase
PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha
PITPNA,phosphatidylinositol transfer protein alpha
HOXD13,homeobox D13
PRMT2,protein arginine methyltransferase 2
TTI2,TELO2 interacting protein 2
NAA10,"N-alpha-acetyltransferase 10, NatA catalytic subunit"
FAM20C,FAM20C golgi associated secretory pathway kinase
MIRLET7A3,microRNA let-7a-3
CDC6,cell division cycle 6
NFE2,"nuclear factor, erythroid 2"
HDAC2,histone deacetylase 2
ZBTB9,zinc finger and BTB domain containing 9
FSCN1,fascin actin-bundling protein 1
ACAD11,acyl-CoA dehydrogenase family member 11
TP73,tumor protein p73
PRKCB,protein kinase C beta
EZR,ezrin
KLHL23,kelch like family member 23
MAP2K1,mitogen-activated protein kinase kinase 1
MIR17,microRNA 17
PELI2,pellino E3 ubiquitin protein ligase family member 2
TMEM267,transmembrane protein 267
MTR,5-methyltetrahydrofolate-homocysteine methyltransferase
CDK6,cyclin dependent kinase 6
RPA4,replication protein A4
DACH1,dachshund family transcription factor 1
NASP,nuclear autoantigenic sperm protein
TRIB3,tribbles pseudokinase 3
NMRK2,nicotinamide riboside kinase 2
PLG,plasminogen
NCSTN,nicastrin
SART1,"spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP"
FEZ2,fasciculation and elongation protein zeta 2
PYGO2,pygopus family PHD finger 2
RETNLB,resistin like beta
AIPL1,aryl hydrocarbon receptor interacting protein like 1
GLRX5,glutaredoxin 5
LRBA,LPS responsive beige-like anchor protein
MRPS34,mitochondrial ribosomal protein S34
IRF5,interferon regulatory factor 5
FAM169A,family with sequence similarity 169 member A
SETD7,"SET domain containing 7, histone lysine methyltransferase"
LSM12,LSM12 homolog
GIGYF2,GRB10 interacting GYF protein 2
UBE2M,ubiquitin conjugating enzyme E2 M
RC3H1,ring finger and CCCH-type domains 1
PLA1A,phospholipase A1 member A
HBS1L,HBS1 like translational GTPase
PCDHB11,protocadherin beta 11
HSH2D,hematopoietic SH2 domain containing
MTG1,mitochondrial ribosome associated GTPase 1
TRIM39,tripartite motif containing 39
PIAS1,protein inhibitor of activated STAT 1
SLA2,Src like adaptor 2
HLA-DRB1,"major histocompatibility complex, class II, DR beta 1"
ASH2L,"ASH2 like, histone lysine methyltransferase complex subunit"
IL6R,interleukin 6 receptor
DDX5,DEAD-box helicase 5
CA8,carbonic anhydrase 8
SHC4,SHC adaptor protein 4
PIK3C2B,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
SNX17,sorting nexin 17
SOD1,superoxide dismutase 1
LDOC1,LDOC1 regulator of NFKB signaling
ATP6V1B1,ATPase H+ transporting V1 subunit B1
ING5,inhibitor of growth family member 5
PBK,PDZ binding kinase
MKNK2,MAPK interacting serine/threonine kinase 2
NDUFS4,NADH:ubiquinone oxidoreductase subunit S4
ZNF114,zinc finger protein 114
MIS18A,MIS18 kinetochore protein A
SPRED1,sprouty related EVH1 domain containing 1
ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide"
FLNC,filamin C
SEMG2,semenogelin 2
FMNL1,formin like 1
KRT7,keratin 7
TP63,tumor protein p63
CSRP1,cysteine and glycine rich protein 1
RPS7,ribosomal protein S7
PLLP,plasmolipin
SCARB1,scavenger receptor class B member 1
GPS2,G protein pathway suppressor 2
SFXN1,sideroflexin 1
YOD1,YOD1 deubiquitinase
PTPN11,protein tyrosine phosphatase non-receptor type 11
RB1,RB transcriptional corepressor 1
CSAD,cysteine sulfinic acid decarboxylase
PRELP,proline and arginine rich end leucine rich repeat protein
ARPP21,cAMP regulated phosphoprotein 21
PRPF4,pre-mRNA processing factor 4
FUCA2,alpha-L-fucosidase 2
PLK2,polo like kinase 2
RRP8,ribosomal RNA processing 8
E2F5,E2F transcription factor 5
RBPJ,recombination signal binding protein for immunoglobulin kappa J region
TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor"
PTPRD,protein tyrosine phosphatase receptor type D
RANBP9,RAN binding protein 9
SUPT3H,"SPT3 homolog, SAGA and STAGA complex component"
IL5RA,interleukin 5 receptor subunit alpha
CCND2,cyclin D2
BRAP,BRCA1 associated protein
MMS19,"MMS19 homolog, cytosolic iron-sulfur assembly component"
PSMB3,proteasome 20S subunit beta 3
GDPD1,glycerophosphodiester phosphodiesterase domain containing 1
GBE1,"1,4-alpha-glucan branching enzyme 1"
NLRC3,NLR family CARD domain containing 3
KAT2B,lysine acetyltransferase 2B
NSUN2,NOP2/Sun RNA methyltransferase 2
EGFR,epidermal growth factor receptor
MEX3B,mex-3 RNA binding family member B
ALDH3A2,aldehyde dehydrogenase 3 family member A2
HSPA5,heat shock protein family A (Hsp70) member 5
BNIP3L,BCL2 interacting protein 3 like
TBX3,T-box transcription factor 3
MKX,mohawk homeobox
EPB41,erythrocyte membrane protein band 4.1
SS18L2,SS18 like 2
LTB,lymphotoxin beta
TNS4,tensin 4
ASXL1,ASXL transcriptional regulator 1
TRIP6,thyroid hormone receptor interactor 6
NDRG2,NDRG family member 2
NT5E,5'-nucleotidase ecto
UBE2R2,ubiquitin conjugating enzyme E2 R2
VCL,vinculin
HMOX2,heme oxygenase 2
SMG5,SMG5 nonsense mediated mRNA decay factor
ASXL3,ASXL transcriptional regulator 3
IGF2BP2,insulin like growth factor 2 mRNA binding protein 2
PPP3CA,protein phosphatase 3 catalytic subunit alpha
OBSL1,obscurin like cytoskeletal adaptor 1
TNS2,tensin 2
S100A10,S100 calcium binding protein A10
TMEM131,transmembrane protein 131
WDR33,WD repeat domain 33
MRPL13,mitochondrial ribosomal protein L13
SERPINB8,serpin family B member 8
DGKZ,diacylglycerol kinase zeta
RPS6KA1,ribosomal protein S6 kinase A1
PPIE,peptidylprolyl isomerase E
BCORL1,BCL6 corepressor like 1
MIR128-2,microRNA 128-2
DDX19B,DEAD-box helicase 19B
IGF2R,insulin like growth factor 2 receptor
AMOTL2,angiomotin like 2
ERGIC2,ERGIC and golgi 2
ECD,ecdysoneless cell cycle regulator
RPS15A,ribosomal protein S15a
MMGT1,membrane magnesium transporter 1
PON1,paraoxonase 1
NUP62,nucleoporin 62
BCL2L13,BCL2 like 13
RASA4B,RAS p21 protein activator 4B
RFC4,replication factor C subunit 4
ARHGAP21,Rho GTPase activating protein 21
MYO1D,myosin ID
USP13,ubiquitin specific peptidase 13
IKZF1,IKAROS family zinc finger 1
AP2A1,adaptor related protein complex 2 subunit alpha 1
ARL6IP6,ADP ribosylation factor like GTPase 6 interacting protein 6
MCM3,minichromosome maintenance complex component 3
DROSHA,drosha ribonuclease III
RBM14,RNA binding motif protein 14
CHD6,chromodomain helicase DNA binding protein 6
ERMN,ermin
TRIM25,tripartite motif containing 25
BECN2,beclin 2
UPP2,uridine phosphorylase 2
EEPD1,endonuclease/exonuclease/phosphatase family domain containing 1
EIF4A3,eukaryotic translation initiation factor 4A3
GLB1,galactosidase beta 1
ORC4,origin recognition complex subunit 4
DLX4,distal-less homeobox 4
EXOC3,exocyst complex component 3
BID,BH3 interacting domain death agonist
ZNF274,zinc finger protein 274
THAP8,THAP domain containing 8
BCAS3,BCAS3 microtubule associated cell migration factor
GALK1,galactokinase 1
CCNE1,cyclin E1
SENP1,SUMO specific peptidase 1
CCNL2,cyclin L2
ING1,inhibitor of growth family member 1
SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
MRPS28,mitochondrial ribosomal protein S28
RYK,receptor like tyrosine kinase
TAX1BP3,Tax1 binding protein 3
CLCC1,chloride channel CLIC like 1
FKBP3,FKBP prolyl isomerase 3
ZDHHC11,zinc finger DHHC-type containing 11
GIMAP5,"GTPase, IMAP family member 5"
NGLY1,N-glycanase 1
DCAF8,DDB1 and CUL4 associated factor 8
EFNB1,ephrin B1
RAB10,"RAB10, member RAS oncogene family"
BRMS1,BRMS1 transcriptional repressor and anoikis regulator
HGS,hepatocyte growth factor-regulated tyrosine kinase substrate
ZNF684,zinc finger protein 684
STK39,serine/threonine kinase 39
FGF9,fibroblast growth factor 9
ACAT1,acetyl-CoA acetyltransferase 1
CMTR1,cap methyltransferase 1
RAC1,Rac family small GTPase 1
LCAT,lecithin-cholesterol acyltransferase
BAZ1A,bromodomain adjacent to zinc finger domain 1A
LCK,"LCK proto-oncogene, Src family tyrosine kinase"
DEDD2,death effector domain containing 2
SUB1,SUB1 regulator of transcription
NR5A2,nuclear receptor subfamily 5 group A member 2
POLRMT,RNA polymerase mitochondrial
E2F1,E2F transcription factor 1
TMEFF1,transmembrane protein with EGF like and two follistatin like domains 1
MIRLET7A1,microRNA let-7a-1
CCT2,chaperonin containing TCP1 subunit 2
CHGB,chromogranin B
BIRC7,baculoviral IAP repeat containing 7
PDK1,pyruvate dehydrogenase kinase 1
PHLDA1,pleckstrin homology like domain family A member 1
WDR77,WD repeat domain 77
NFIL3,"nuclear factor, interleukin 3 regulated"
IGF2BP1,insulin like growth factor 2 mRNA binding protein 1
ILVBL,ilvB acetolactate synthase like
BCL10,BCL10 immune signaling adaptor
TRAF3,TNF receptor associated factor 3
MYBL2,MYB proto-oncogene like 2
CHD9,chromodomain helicase DNA binding protein 9
PTK2B,protein tyrosine kinase 2 beta
FRK,fyn related Src family tyrosine kinase
MIR25,microRNA 25
MAP9,microtubule associated protein 9
SCO2,synthesis of cytochrome C oxidase 2
DEPDC1,DEP domain containing 1
WASL,WASP like actin nucleation promoting factor
TMPRSS11B,transmembrane serine protease 11B
CUBN,cubilin
ZNHIT6,zinc finger HIT-type containing 6
RRAD,"RRAD, Ras related glycolysis inhibitor and calcium channel regulator"
UACA,uveal autoantigen with coiled-coil domains and ankyrin repeats
SLC25A22,solute carrier family 25 member 22
SAA2,serum amyloid A2
PSMA5,proteasome 20S subunit alpha 5
DHX15,DEAH-box helicase 15
MAP1LC3B,microtubule associated protein 1 light chain 3 beta
SAFB2,scaffold attachment factor B2
BEND7,BEN domain containing 7
HYPK,huntingtin interacting protein K
RNH1,ribonuclease/angiogenin inhibitor 1
TREM2,triggering receptor expressed on myeloid cells 2
UBQLN4,ubiquilin 4
UQCRC1,ubiquinol-cytochrome c reductase core protein 1
PRKCA,protein kinase C alpha
MRPL42,mitochondrial ribosomal protein L42
GOLPH3L,golgi phosphoprotein 3 like
MLLT11,MLLT11 transcription factor 7 cofactor
GUSBP1,GUSB pseudogene 1
GPD2,glycerol-3-phosphate dehydrogenase 2
UPF1,UPF1 RNA helicase and ATPase
RMDN1,regulator of microtubule dynamics 1
NSF,"N-ethylmaleimide sensitive factor, vesicle fusing ATPase"
PDPK1,3-phosphoinositide dependent protein kinase 1
IL2RA,interleukin 2 receptor subunit alpha
TF,transferrin
OSBP,oxysterol binding protein
TRAF2,TNF receptor associated factor 2
DNTT,DNA nucleotidylexotransferase
XPO4,exportin 4
NHLRC2,NHL repeat containing 2
LRSAM1,leucine rich repeat and sterile alpha motif containing 1
MAGEA2,MAGE family member A2
EPHX1,epoxide hydrolase 1
SPI1,Spi-1 proto-oncogene
SERAC1,serine active site containing 1
CBR1,carbonyl reductase 1
SQSTM1,sequestosome 1
MUL1,mitochondrial E3 ubiquitin protein ligase 1
MAP2,microtubule associated protein 2
SIRPA,signal regulatory protein alpha
CCNO,cyclin O
AMOTL1,angiomotin like 1
TTC27,tetratricopeptide repeat domain 27
PTEN,phosphatase and tensin homolog
SORT1,sortilin 1
CCS,copper chaperone for superoxide dismutase
XRCC3,X-ray repair cross complementing 3
GLDC,glycine decarboxylase
LINC01194,long intergenic non-protein coding RNA 1194
GSTK1,glutathione S-transferase kappa 1
SNIP1,Smad nuclear interacting protein 1
SOX5,SRY-box transcription factor 5
G6PD,glucose-6-phosphate dehydrogenase
UFL1,UFM1 specific ligase 1
SRI,sorcin
SURF4,surfeit 4
CSNK2A2,casein kinase 2 alpha 2
ATP6V0E1,ATPase H+ transporting V0 subunit e1
DUSP3,dual specificity phosphatase 3
GRIA3,glutamate ionotropic receptor AMPA type subunit 3
CLEC12A,C-type lectin domain family 12 member A
MIRLET7C,microRNA let-7c
SGTA,small glutamine rich tetratricopeptide repeat containing alpha
C6orf120,chromosome 6 open reading frame 120
RHPN1,rhophilin Rho GTPase binding protein 1
DOK2,docking protein 2
KRT73,keratin 73
MIR141,microRNA 141
GABRG3,gamma-aminobutyric acid type A receptor subunit gamma3
DDX18,DEAD-box helicase 18
RNF114,ring finger protein 114
FKBP6,FKBP prolyl isomerase 6
RABGAP1,RAB GTPase activating protein 1
SMC1A,structural maintenance of chromosomes 1A
DDX20,DEAD-box helicase 20
TET2,tet methylcytosine dioxygenase 2
TMSB4X,thymosin beta 4 X-linked
TRAIP,TRAF interacting protein
HSPB1,heat shock protein family B (small) member 1
EPG5,ectopic P-granules autophagy protein 5 homolog
FGB,fibrinogen beta chain
FANCC,FA complementation group C
SND1,staphylococcal nuclease and tudor domain containing 1
PREB,prolactin regulatory element binding
OPA1,OPA1 mitochondrial dynamin like GTPase
RELB,"RELB proto-oncogene, NF-kB subunit"
RPL15,ribosomal protein L15
AHNAK2,AHNAK nucleoprotein 2
GEMIN4,gem nuclear organelle associated protein 4
TREX2,three prime repair exonuclease 2
ARID3A,AT-rich interaction domain 3A
TBPL1,TATA-box binding protein like 1
SLC16A1,solute carrier family 16 member 1
YY2,YY2 transcription factor
DNAJC7,DnaJ heat shock protein family (Hsp40) member C7
RMND5A,required for meiotic nuclear division 5 homolog A
ITGA5,integrin subunit alpha 5
INPPL1,inositol polyphosphate phosphatase like 1
RIPK1,receptor interacting serine/threonine kinase 1
MAPKAPK5,MAPK activated protein kinase 5
RANGAP1,Ran GTPase activating protein 1
TMEM59L,transmembrane protein 59 like
TMEM160,transmembrane protein 160
AGO1,argonaute RISC component 1
THOC7,THO complex 7
MUC4,"mucin 4, cell surface associated"
TFAP2A,transcription factor AP-2 alpha
CASQ2,calsequestrin 2
SEPHS1,selenophosphate synthetase 1
CCL2,C-C motif chemokine ligand 2
HRAS,"HRas proto-oncogene, GTPase"
NACA,nascent polypeptide associated complex subunit alpha
MALAT1,metastasis associated lung adenocarcinoma transcript 1
GOLGA2,golgin A2
LSM14A,LSM14A mRNA processing body assembly factor
FCF1,FCF1 rRNA-processing protein
MIR34B,microRNA 34b
HNF1A,HNF1 homeobox A
HNRNPL,heterogeneous nuclear ribonucleoprotein L
ALDOC,"aldolase, fructose-bisphosphate C"
TTN,titin
CDK5RAP3,CDK5 regulatory subunit associated protein 3
IFIT3,interferon induced protein with tetratricopeptide repeats 3
FAM126B,family with sequence similarity 126 member B
ABCE1,ATP binding cassette subfamily E member 1
GTF3C3,general transcription factor IIIC subunit 3
STK26,serine/threonine kinase 26
CALM1,calmodulin 1
USP44,ubiquitin specific peptidase 44
AGO3,argonaute RISC catalytic component 3
INPP4B,inositol polyphosphate-4-phosphatase type II B
PABPN1,poly(A) binding protein nuclear 1
SPRR1A,small proline rich protein 1A
CLTCL1,clathrin heavy chain like 1
KRTAP10-8,keratin associated protein 10-8
PGR,progesterone receptor
SAP25,Sin3A associated protein 25
DTL,denticleless E3 ubiquitin protein ligase homolog
WLS,Wnt ligand secretion mediator
MET,"MET proto-oncogene, receptor tyrosine kinase"
PPP1CA,protein phosphatase 1 catalytic subunit alpha
STAT3,signal transducer and activator of transcription 3
APRT,adenine phosphoribosyltransferase
SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein
PKIA,cAMP-dependent protein kinase inhibitor alpha
CCT7,chaperonin containing TCP1 subunit 7
SKI,SKI proto-oncogene
PRMT3,protein arginine methyltransferase 3
GSTO1,glutathione S-transferase omega 1
TMOD3,tropomodulin 3
MAST1,microtubule associated serine/threonine kinase 1
NMUR2,neuromedin U receptor 2
NIPSNAP2,nipsnap homolog 2
CDK5R1,cyclin dependent kinase 5 regulatory subunit 1
SETD2,"SET domain containing 2, histone lysine methyltransferase"
PCYT2,"phosphate cytidylyltransferase 2, ethanolamine"
CDC25B,cell division cycle 25B
RDX,radixin
TTF1,transcription termination factor 1
PCK1,phosphoenolpyruvate carboxykinase 1
GADD45G,growth arrest and DNA damage inducible gamma
PYHIN1,pyrin and HIN domain family member 1
SPATC1L,spermatogenesis and centriole associated 1 like
FBXO21,F-box protein 21
CDK9,cyclin dependent kinase 9
MKRN1,makorin ring finger protein 1
SPAG8,sperm associated antigen 8
ANLN,anillin actin binding protein
TRPM3,transient receptor potential cation channel subfamily M member 3
CDO1,cysteine dioxygenase type 1
ZDHHC18,zinc finger DHHC-type palmitoyltransferase 18
SNRPE,small nuclear ribonucleoprotein polypeptide E
LYPD4,LY6/PLAUR domain containing 4
VPS28,VPS28 subunit of ESCRT-I
DYRK1B,dual specificity tyrosine phosphorylation regulated kinase 1B
KIF1C,kinesin family member 1C
IDI1,isopentenyl-diphosphate delta isomerase 1
ACVR1B,activin A receptor type 1B
KIF11,kinesin family member 11
MIR19B2,microRNA 19b-2
TRAPPC2L,trafficking protein particle complex 2 like
CBFB,core-binding factor subunit beta
SRRM1,serine and arginine repetitive matrix 1
RPS19BP1,ribosomal protein S19 binding protein 1
RBBP5,"RB binding protein 5, histone lysine methyltransferase complex subunit"
RIF1,replication timing regulatory factor 1
ASPRV1,aspartic peptidase retroviral like 1
CNOT7,CCR4-NOT transcription complex subunit 7
PCDHA13,protocadherin alpha 13
MSTO1,misato mitochondrial distribution and morphology regulator 1
HSD11B1,hydroxysteroid 11-beta dehydrogenase 1
TBL1X,transducin beta like 1 X-linked
POLR2A,RNA polymerase II subunit A
IL12B,interleukin 12B
FIGNL1,fidgetin like 1
EEF2,eukaryotic translation elongation factor 2
MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1
SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3"
AGRN,agrin
ADAMTSL4,ADAMTS like 4
CIP2A,cellular inhibitor of PP2A
ATF7IP2,activating transcription factor 7 interacting protein 2
RAB1B,"RAB1B, member RAS oncogene family"
SAP130,Sin3A associated protein 130
MED29,mediator complex subunit 29
POU2F1,POU class 2 homeobox 1
COQ8A,coenzyme Q8A
C2orf49,chromosome 2 open reading frame 49
ABRAXAS1,"abraxas 1, BRCA1 A complex subunit"
IL6,interleukin 6
GPX1,glutathione peroxidase 1
DCAF10,DDB1 and CUL4 associated factor 10
CCNA2,cyclin A2
NR2E3,nuclear receptor subfamily 2 group E member 3
FGFR4,fibroblast growth factor receptor 4
CSNK1D,casein kinase 1 delta
FLOT2,flotillin 2
RNF8,ring finger protein 8
RAP2C,"RAP2C, member of RAS oncogene family"
CLSPN,claspin
KMT2C,lysine methyltransferase 2C
CTTN,cortactin
HPN,hepsin
PPIB,peptidylprolyl isomerase B
ST13,ST13 Hsp70 interacting protein
UBA2,ubiquitin like modifier activating enzyme 2
PRMT1,protein arginine methyltransferase 1
SPNS1,sphingolipid transporter 1 (putative)
GOT1L1,glutamic-oxaloacetic transaminase 1 like 1
TM9SF3,transmembrane 9 superfamily member 3
APOC3,apolipoprotein C3
CHMP4B,charged multivesicular body protein 4B
TOMM70,translocase of outer mitochondrial membrane 70
NRBF2,nuclear receptor binding factor 2
ABCD3,ATP binding cassette subfamily D member 3
USP11,ubiquitin specific peptidase 11
SLFN11,schlafen family member 11
SSH1,slingshot protein phosphatase 1
SARS2,"seryl-tRNA synthetase 2, mitochondrial"
GALNT10,polypeptide N-acetylgalactosaminyltransferase 10
PRDX5,peroxiredoxin 5
MATN2,matrilin 2
SHROOM3,shroom family member 3
MRPL24,mitochondrial ribosomal protein L24
CDH6,cadherin 6
PTPRF,protein tyrosine phosphatase receptor type F
ADAM28,ADAM metallopeptidase domain 28
LIN54,lin-54 DREAM MuvB core complex component
PPA1,inorganic pyrophosphatase 1
RCC1,regulator of chromosome condensation 1
FERMT2,fermitin family member 2
RNF149,ring finger protein 149
TWIST1,twist family bHLH transcription factor 1
ANKRD11,ankyrin repeat domain 11
ZNF174,zinc finger protein 174
LMNA,lamin A/C
AGO2,argonaute RISC catalytic component 2
PHF10,PHD finger protein 10
MEX3C,mex-3 RNA binding family member C
AAMDC,adipogenesis associated Mth938 domain containing
MDK,midkine
PRR14,proline rich 14
SOX4,SRY-box transcription factor 4
RRP1B,ribosomal RNA processing 1B
CLTB,clathrin light chain B
CASP7,caspase 7
VPS26A,"VPS26, retromer complex component A"
CDK2,cyclin dependent kinase 2
MYL4,myosin light chain 4
DNAJA4,DnaJ heat shock protein family (Hsp40) member A4
PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"
MSLN,mesothelin
PTTG1IP,PTTG1 interacting protein
OXA1L,OXA1L mitochondrial inner membrane protein
LRR1,leucine rich repeat protein 1
SIX2,SIX homeobox 2
DNAJC16,DnaJ heat shock protein family (Hsp40) member C16
RPL27A,ribosomal protein L27a
RAB5C,"RAB5C, member RAS oncogene family"
MRPL28,mitochondrial ribosomal protein L28
MRPS27,mitochondrial ribosomal protein S27
SERPINF2,serpin family F member 2
PTRH2,peptidyl-tRNA hydrolase 2
MBP,myelin basic protein
HNRNPUL1,heterogeneous nuclear ribonucleoprotein U like 1
FN3KRP,fructosamine 3 kinase related protein
A1BG,alpha-1-B glycoprotein
PER2,period circadian regulator 2
XBP1,X-box binding protein 1
NAT10,N-acetyltransferase 10
PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha
PSMD4,"proteasome 26S subunit, non-ATPase 4"
PRPF3,pre-mRNA processing factor 3
AGT,angiotensinogen
CAMK1,calcium/calmodulin dependent protein kinase I
ITGA2B,integrin subunit alpha 2b
CCL23,C-C motif chemokine ligand 23
MORN2,MORN repeat containing 2
PMM2,phosphomannomutase 2
OTUD7B,OTU deubiquitinase 7B
PSMC3,"proteasome 26S subunit, ATPase 3"
HNRNPU,heterogeneous nuclear ribonucleoprotein U
BRCA2,BRCA2 DNA repair associated
ZCCHC10,zinc finger CCHC-type containing 10
COPZ1,COPI coat complex subunit zeta 1
ALDH3B1,aldehyde dehydrogenase 3 family member B1
FXR2,FMR1 autosomal homolog 2
E2F2,E2F transcription factor 2
SH3BGR,SH3 domain binding glutamate rich protein
CALCOCO2,calcium binding and coiled-coil domain 2
HRH1,histamine receptor H1
ARF6,ADP ribosylation factor 6
GPLD1,glycosylphosphatidylinositol specific phospholipase D1
EIF5A,eukaryotic translation initiation factor 5A
RERE,arginine-glutamic acid dipeptide repeats
ENO3,enolase 3
GRID1,glutamate ionotropic receptor delta type subunit 1
USP54,ubiquitin specific peptidase 54
PSMG2,proteasome assembly chaperone 2
ACTN4,actinin alpha 4
RAD21,RAD21 cohesin complex component
SUSD4,sushi domain containing 4
PTCD3,pentatricopeptide repeat domain 3
KRT38,keratin 38
ENO2,enolase 2
DOT1L,DOT1 like histone lysine methyltransferase
HCFC2,host cell factor C2
KRT14,keratin 14
GPM6B,glycoprotein M6B
SMG7,SMG7 nonsense mediated mRNA decay factor
NCOA6,nuclear receptor coactivator 6
KRT31,keratin 31
TGFBR2,transforming growth factor beta receptor 2
MIR579,microRNA 579
NDRG1,N-myc downstream regulated 1
SPDL1,spindle apparatus coiled-coil protein 1
HMGA1,high mobility group AT-hook 1
HIPK4,homeodomain interacting protein kinase 4
